product_name,start_range,end_range
Vintage Penny Black 1840 c.1860 Excellent Condition,17690,37660
Original Marble Bust c.1800,14170,43590
Aviation Chart WWII Pacific c.1800,3520,8270
Restored Sardonyx Intaglio Ring With Provenance,11510,27310
Signed Fraktur Pennsylvania German c.1780 Museum Deaccessioned,550,1020
Napoleonic Era Cavalry Saber c.1780,9600,19290
Historic Brass Telescope Victorian 18th Century Recently Conserved,5780,15000
Stumpwork Embroidery Panel,790,2130
Estate Polo Mallet Collection,930,2330
Restored Topaz Chandelier Earrings Late Victorian As Found,15750,37260
Authentic Donegal Arts Crafts Carpet c.1920,8240,26620
Choice Night Clock Oil Lamp Italian,3320,6450
Grand Sextant Ebony Frame,120,270
Important Gilt Bronze Candelabra Pair Post-War As Found,11300,25000
Spain Classic Period Collection Post-War,11990,22740
Fine Mercury Dime Full Bands Mid-Century,30920,74350
Vintage Val Saint Lambert Vase 19th Century As Found,5150,17000
Hank Aaron Home Run Ball Arts & Crafts Era,13300,29770
Notable Hamilton Khaki Field,56120,120000
Outstanding Regency Silver Sauce Boat Late Victorian,4050,5720
Unique Georgian Silver Tea Set Modernist Period With Certificate,2450,8280
Antique Geological Survey Map Victorian c.1970,5990,12000
Estate Whittled Walking Cane,2700,3600
Select Indian Head Gold Eagle Good Condition,21050,49620
Game Bird Print Set Framed c.1910,5080,12000
Premier Chronometer Deck Watch Naval c.1860,13960,46480
Bracket Clock Georgian Ebony Mid-Century,3570,10640
Matched Shakespeare First Folio Page c.1940,12650,28100
Exquisite Kinetic Metal Sculpture Early 20th Century,3830,6060
Scarce Vintage Pucci Silk Dress c.1910,2620,9130
Provenance Jade Bangle Bracelet,34140,75000
Early Dalmore 50 Year Single Malt,8790,25000
Carved Oak Church Pew,870,1140
Colonial City Plan Paris 1750,2600,8150
Carriage Clock Brass Repeating c.1820,6550,18000
Ship Figurehead Carved Art Nouveau Period Recently Conserved,8240,18000
Early Navajo Chief's Blanket c.1880,810,1140
Signed Civil War Officer's Sword,6120,17290
Remarkable Waterford Crystal Decanter Set,620,1590
Georgian Tallboy Chest,9370,25000
Ornate Louis Vuitton Trunk Antique Belle Epoque,5370,7330
Game Bird Print Set Framed Art Deco Period,5560,7540
Matched Shooting Stick Silver Collar c.1880,1870,3660
Delicate Reclaimed Church Doors Oak,3120,9030
Attributed Auto Racing Trophy 1960s Late Victorian,2090,4750
Remarkable Realist Portrait Post-War,14340,19240
Distinguished Ancient Map Folio,20050,50000
Documented Byzantine Gold Solidus,17000,36410
Grand Abstract Expressionist Work c.1930 Good Condition,17920,50170
Rare Longcase Grandfather Clock Georgian Period,5730,10520
Miniature 1990 Screaming Eagle Cabernet,1420,4180
Notable Theorem Painting on Velvet c.1860,8640,18000
Unmatched Standing Liberty Quarter Excellent Condition,15400,46460
Mobil Pegasus Neon Sign,2290,4450
Choice Silver Trophy Cup Engraved c.1960,1580,2380
Original AA Badge Chrome Collection Unrestored,840,2060
Notable UN First Issues Collection c.1840 With Provenance,20110,50000
Moonstone Cocktail Ring Art Nouveau Period,21510,60250
Comtoise Clock French Provincial Late Victorian,6450,14270
Victorian Silver Candelabra,8900,20000
Published Chinese Scholar's Rock Art Nouveau Period,24440,48630
Derek Jeter Game Bat Art Deco Period,24120,48190
Bottega Veneta Clutch Early 20th Century,12750,35000
Magnificent Louis XIII Cognac Baccarat Decanter c.1910 Excellent Condition,380,1120
Choice Woodstock Festival Poster c.1900,1780,6070
Estate Perfin Stamp Collection,18490,50000
Unmatched Babe Ruth Signed Baseball,21850,48760
Monumental Handel Reverse Painted Lamp Good Condition,1740,2620
Delicate Emily Dickinson Manuscript c.1780 With Provenance,11410,34480
Monumental Hamada Shoji Tea Bowl Empire Period,14870,19360
Soapstone Animal Carving c.1910 With Certificate,16760,34360
Ornate Terracotta Statuette,34770,80000
Unique Antique Brass Car Horn Excellent Condition,1270,3060
Antique Balloon Clock Edwardian Georgian Period,5440,9710
Monumental Theremin RCA Original,13180,24280
Authentic Retro Ruby Bracelet,320,470
Queen Anne Highboy,8720,17400
Fine Civil War Letters Collection,14180,19760
Historic Edwardian Silver Card Case,8130,20000
Authentic William Eggleston Color Print c.1820 From Private Collection,3090,6840
Fine Tiffany Wisteria Table Lamp,6130,18940
Boer War Medal Group Post-War Unrestored,9470,20000
Exceptional Edwardian Silver Card Case Edwardian Era From Private Collection,4790,15110
Matched Regulator Dial Wristwatch,26130,54780
Glass Blown Sculpture Estate Fresh,7880,17250
Fijian War Club Carved With Provenance,5350,9380
Museum Quality Post-Impressionist Cityscape c.1930,22240,43430
Matched Antique Fishing Reel Collection Federal Period Excellent Condition,260,380
Provincial Labradorite Pendant Empire Period,7690,14510
Exhibited Emilio Pucci Palazzo Pants,8540,28150
Provenance Chinese Jade Bi Disc Federal Period Unrestored,12120,26730
Outstanding Chartreuse VEP Green Federal Period,10800,25000
Ming Dynasty Blue White Vase c.1910,7300,18990
Shaker Rocking Chair,10060,17740
Pristine Chinese Snuff Bottle Jade Modernist Period Recently Conserved,12490,22920
Error Stamp Collection,530,890
Matched Rickenbacker 360 Electric Guitar c.1840 Museum Deaccessioned,8250,23970
Rare WWI Trench Art Vase c.1920 From Private Collection,5790,10700
Notable Cabbage Patch Kids Original c.1840,6410,15000
Restored Surveyor's Transit Brass,6630,15000
Attributed Tudor Black Bay,52200,72190
Remarkable Desert Storm Challenge Coin Set,8570,20000
Choice Rickenbacker 360 Electric Guitar c.1970,4280,7650
Antique Audemars Piguet Royal Oak Belle Epoque,480,1260
Signed Reclaimed Church Doors Oak Regency Period Recently Conserved,1690,4250
Period Super Bowl I Program Art Deco Period,5700,18610
Early Vintage Dashboard Clock Jaeger Georgian Period From Private Collection,1480,4880
Published Art Deco Figurative Painting Late Victorian,45620,92790
Antique AA Badge Chrome Collection,270,350
Jumping Hour Watch Art Deco Belle Epoque,53400,120000
Miniature Zuni Fetish Carving Collection c.1920 As Found,10850,24170
Premier Louis Vuitton Trunk Antique,1690,3130
Select Chinese Cash Coin Collection c.1820,20980,48650
Reclaimed Stained Glass Window Federal Period Excellent Condition,7230,11550
Sanborn Fire Insurance Map c.1940 Unrestored,4420,12000
Early Wheel Barometer Rosewood Arts & Crafts Era,3700,12840
Certified Ansel Adams Yosemite Print Art Nouveau Period Museum Deaccessioned,2630,5870
Restored Aston Martin Wings Badge,2400,5000
Attributed Babe Ruth Signed Baseball Estate Fresh,2570,5910
Exceptional Lalique Crystal Bacchantes Vase,3150,4700
Delicate Kneehole Desk Georgian c.1940 Good Condition,3750,10740
Oversized Mdina Glass Paperweight c.1880,530,790
Civil War Officer's Sword,6090,16920
Authentic Faberge Style Egg Edwardian Era,690,1270
Oscar Wilde Signed Letter Art Nouveau Period As Found,7280,20640
Early Vintage Tube Amplifier Empire Period,1740,2990
Documented Regency Silver Sauce Boat,2200,7250
Exceptional Lafite Rothschild 1959 Empire Period Estate Fresh,11980,25000
Miniature Nintendo Entertainment System Boxed c.1900 Museum Deaccessioned,1610,2780
Grand Carved Oak Church Pew Recently Conserved,8120,18720
Faberge Style Egg c.1960,1890,2930
Sony Walkman TPS-L2 Original Art Nouveau Period With Certificate,2200,6550
Premier Zulu War Assegai Spear,2980,8190
Newcomb College Vase c.1940,10430,25840
Baccarat Crystal Wine Glasses Empire Period With Certificate,12310,25000
Edward Weston Pepper Print,3560,6700
Playmobil First Series Set Belle Epoque Good Condition,6130,15000
Unmatched Cuckoo Clock Black Forest c.1940 Recently Conserved,6900,18000
Nurses Watch Enamel Dial Modernist Period,43340,120000
Klipschorn Speaker Pair With Provenance,6420,21810
Fresco Fragment,13440,28710
Important Game Bird Print Set Framed c.1900,3760,8680
Hawaiian Missionaries Stamp Regency Period Excellent Condition,18050,50000
Provincial Playmobil First Series Set,590,1580
Distinguished Depression Glass Collection,1280,3650
Choice Haida Argillite Carving c.1860,13050,40000
Thai Bronze Buddha Seated c.1800,5790,13930
WWII German Binoculars Federal Period,9220,20000
Early Level Spirit Brass Surveyor,1860,3190
Monumental Gilded Rococo Console Table,11390,23150
Provincial Meissen Porcelain Figurine,4960,14560
Stone Lion Garden Statue Pair Early 20th Century,5900,12740
Auto Racing Trophy 1960s c.1940 From Private Collection,1840,3200
Period Victorian Gas Wall Sconce Pair c.1940,1330,3390
Faberge Style Egg c.1900,6220,10980
Notable Shooting Stick Silver Collar c.1840,1260,3730
Delicate Cassandre Normandie Poster,3770,8040
Delicate Paul Revere Silver Bowl Federal Period,9140,13120
Choice Pan Am Airlines Poster 1960s,3700,11140
Babe Ruth Signed Baseball,16660,31450
Exquisite Lead Garden Cistern Georgian Post-War,6330,15000
Remarkable Codex Fragment Medieval Late Victorian As Found,11210,27290
Published Fijian War Club Carved,3450,7330
Yoruba Ibeji Twin Figure c.1960,1560,4450
Distinguished Edwardian Silver Card Case,3950,10480
Provenance Mercedes Benz Star Emblem Vintage,510,970
Attributed Sundial Bronze Armillary,5680,15000
Miniature Taxidermy Pheasant Display c.1820,4560,12000
Distinguished Sterling Silver Cigar Box,4550,7530
Wheel Barometer Rosewood,7610,18000
Exhibited Helmut Newton Fashion Print,6050,20770
Berenice Abbott Manhattan Print c.1940,460,910
Lee Friedlander Street Print Edwardian Era,2840,6880
Authentic Bing Clockwork Boat c.1960,4340,13010
Historic Spanish American War Poster 19th Century,5830,8700
Colonial Vintage Port Taylor's 1963,6320,18150
Vintage Purdey Side by Side Shotgun c.1780 Museum Deaccessioned,500,1160
Exhibited Chinese Cash Coin Collection c.1950,39390,52170
Victorian Chaise Lounge Excellent Condition,4950,10980
Cast Iron Garden Sculpture,37090,80000
Estate Wimbledon Championship Trophy Replica Edwardian Era Excellent Condition,7100,16720
Fine Imogen Cunningham Magnolia Print Museum Deaccessioned,5890,11960
Exhibited Trade Dollar Proof Good Condition,10670,14570
Unique Cold War Era Spy Camera,3210,7130
Kosta Boda Art Glass Bowl Georgian Period,1780,5260
Aston Martin Wings Badge Early 20th Century Recently Conserved,620,2040
Superb Copper Patina Sculpture c.1900,28720,77620
Period Depression Glass Collection,11290,21340
Superb Vintage Dashboard Clock Jaeger c.1880,1640,3010
Delicate Russian Niello Silver Box,250,580
Tibetan Thangka Painting,9900,26790
Moonstone Cocktail Ring As Found,11710,20410
Grand Muhammad Ali Fight Poster c.1880,11930,31130
Colonial Rushlight Holder Iron c.1820,8330,13280
Beatrix Potter First Edition,240,820
Original Antique Wrought Iron Chandelier With Certificate,4790,13420
Late Thai Bronze Buddha Seated,8720,27280
Ornate Quilt Log Cabin Pattern Recently Conserved,2910,7510
Antique Zither Concert Model Antique,7780,11490
Notable Victorian Cast Iron Gate c.1930,2960,5340
Unique Japanese Meiji Bronze Vase Estate Fresh,19000,45030
Fine Oscar Wilde Signed Letter c.1780,14990,31800
Exquisite Greek Tetradrachm Georgian Period Museum Deaccessioned,13540,39790
Provenance Teddy Ruxpin Working c.1970,890,2840
Boucheron Gold Cuff Art Nouveau Period Museum Deaccessioned,22130,52600
Venini Glass Pendant Light,9300,20000
Important Art Deco Figurative Painting,15100,20920
Scarce Sepik River Ancestor Figure,14260,30950
Schiaparelli Shocking Pink Hat Late Victorian,2930,6290
Select Bidjar Iron Rug c.1910,510,1640
Choice Herend Figurine Hand Painted,10990,14850
Magnificent Chateau Margaux 1990,2530,6960
Papua New Guinea Spirit Mask Art Deco Period From Private Collection,3950,13090
Colonial Sterling Silver Cigar Box Edwardian Era,5500,13670
Early Wax Fruit Under Glass Dome,5440,16350
Premier Hawaiian Missionaries Stamp c.1950,7980,24860
Period Concertina Wheatstone English,18990,49600
Published Transformers G1 Optimus Prime c.1860 Unrestored,7330,15000
Signed Sea Chart Dutch Golden Age Estate Fresh,2970,5720
Cheval Blanc 1947 Late Victorian,180,270
Choice Aboriginal Dot Painting Canvas c.1970,14790,25140
Exhibited Vintage Croquet Set Complete Unrestored,390,990
Provincial Regency Silver Sauce Boat,7390,14590
Moonstone Cocktail Ring,34680,75000
Gibson Les Paul Standard 1959 c.1880,29120,60000
Rare Jade Bangle Bracelet,5400,18320
African Bronze Benin Head,13820,40000
Estate Double Eagle $20 Gold Coin Mid-Century Recently Conserved,29260,72910
Restored Silhouette Portrait Collection 19th Century Unrestored,5870,17800
Original Porsche Enamel Dealer Sign Arts & Crafts Era From Private Collection,310,730
Unique Vintage Croquet Set Complete 19th Century,1020,2700
Original Agatha Christie Signed First Edition Edwardian Era,1970,4530
Exhibited Georgian Silver Candlestick Pair Federal Period,620,1160
Inverted Jenny Stamp,14910,22390
Historic Shaker Rocking Chair Federal Period,4650,7990
Pristine Buffalo Nickel Proof Arts & Crafts Era,20500,45330
Early Marantz 2270 Receiver Arts & Crafts Era Estate Fresh,4830,15090
Signed Haida Argillite Carving c.1960,15620,24610
Citizen Chronomaster c.1930,54470,117190
Select Ziegler Mahal Carpet c.1820,6890,10100
Miniature Haida Argillite Carving Late Victorian,6420,21710
Remarkable Glass Blown Sculpture,25250,80000
Attributed Castrol Oil Can Collection Modernist Period,2240,5000
Whirligig Carved Sailor Modernist Period As Found,1830,4000
Scarce Antique Celestial Globe,5960,12000
Select Georgian Silver Tea Set c.1900 With Certificate,5590,13780
Remarkable Shakespeare First Folio Page From Private Collection,14230,27400
Original Finial Cast Iron Roof Arts & Crafts Era,5700,9160
Museum Quality 1990 Screaming Eagle Cabernet,5560,15230
Published Resin Cast Figure,23540,44600
Premier Sheffield Plate Epergne,7110,20000
Jesse Owens Olympic Photo Signed,16260,50000
Authentic Girandole Mirror Candelabra 19th Century Museum Deaccessioned,8380,20000
Treasure Map Replica Framed c.1880,80,150
Betty Lamp Iron Colonial,9740,13860
Exhibited Tiger Woods Tournament Putter c.1930,1720,3920
Exceptional Apothecary Scale Marble Base c.1840 With Certificate,1790,5530
Unmatched Armillary Sphere Desktop,3280,10970
Late Slide Rule Collection From Private Collection,9040,17760
Magnificent Royal Doulton Character Jug Excellent Condition,2590,3980
Choice Cape of Good Hope Triangular 19th Century Excellent Condition,24690,50000
Reclaimed Barn Door Mid-Century,1170,2570
Original Ferrari Owners Manual Georgian Period,530,1210
Unique UN First Issues Collection Empire Period,5220,8470
Grand Zither Concert Model Antique c.1880,23970,41930
Museum Quality Cuckoo Clock Black Forest Excellent Condition,2850,5970
Social Realist Mural Study Modernist Period Good Condition,5770,13770
Premier Vernis Martin Vitrine Display Case Edwardian Era,11260,25000
Nepalese Bronze Deity Figure,26280,47460
Klipschorn Speaker Pair,10750,29370
Exquisite Vintage Neon Beer Sign c.1860,7870,21610
Authentic Aboriginal Boomerang Carved c.1970 From Private Collection,6970,15780
Certified Indian Mughal Miniature Painting,6900,11500
Irving Penn Still Life Print c.1800,11700,20100
Continental Soviet Constructivist Propaganda Poster c.1950,1290,2140
Premier Revolutionary War Musket,7240,12980
Authentic Annie Leibovitz Portrait Arts & Crafts Era Recently Conserved,12590,30000
Vintage Penny Bank Mechanical c.1950 From Private Collection,6100,17440
Choice WPA Federal Art Project Poster Arts & Crafts Era From Private Collection,3750,12000
Scarce Klipschorn Speaker Pair,6180,19600
Monumental Stone Abstract Form Early 20th Century Museum Deaccessioned,21210,67630
Continental Bing Clockwork Boat Early 20th Century,5970,11260
Museum Quality Steiff Teddy Bear 1905,3960,6100
Atari Jaguar Console Sealed,600,1140
Antique Brass Door Hardware Set Good Condition,2410,5170
Art Deco Beaded Flapper Dress,10360,19210
Provincial Cast Iron Garden Sculpture Regency Period,22750,63780
Late Kinetic Metal Sculpture Art Deco Period,24610,69560
Chinoiserie Lacquer Screen Good Condition,10610,15590
Wheel Barometer Rosewood c.1970 Good Condition,1480,3050
Pristine Yves Saint Laurent Le Smoking Jacket Federal Period With Certificate,2300,6360
Treasure Map Replica Framed c.1920,4570,12000
Late Hofner 500/1 Bass Guitar,26200,60000
Outstanding Antique Darts Board,4600,12000
Antique Regency Silver Sauce Boat Edwardian Era Recently Conserved,8580,20000
Provenance Herend Figurine Hand Painted Unrestored,19740,40000
Compass Surveyor's Brass Arts & Crafts Era Unrestored,1510,2660
Antique Norman Rockwell Saturday Evening Post,750,1300
Remarkable Derek Jeter Game Bat Museum Deaccessioned,6930,16010
Original Purdey Side by Side Shotgun With Certificate,5790,12000
Rhodes Mark I Stage Piano Mid-Century,2870,7480
Ornate Sundial Pocket Brass c.1970,7070,9550
Peridot Stud Earrings,24570,55630
Notable British Redcoat Uniform Button Collection,4980,8110
Early Maxfield Parrish Print Framed Georgian Period Estate Fresh,4400,9500
Estate Psychedelic Rock Concert Poster,1010,2610
Fine Vintage Ray-Ban Aviators Excellent Condition,4640,9680
Persian Miniature Manuscript Page From Private Collection,20090,50000
Estate Jade Carving Unrestored,36810,67370
Authentic Oris Aquis Date c.1940,50780,120000
Published Sterling Silver Cigar Box c.1780,190,530
James Joyce Ulysses 1st Ed c.1910 As Found,15680,50000
Scarce Art Deco Wristwatch c.1950,28350,85440
Authentic Industrial Factory Pendant Recently Conserved,6740,8960
Butler's Tray Table,11470,25000
Monumental Buccellati Silver Bowl,8280,17870
Super Bowl I Program c.1970,11450,39070
Provincial Regency Dining Table c.1930 Estate Fresh,7940,13160
Tiffany Diamond Solitaire,7430,24850
Monumental Resin Cast Figure,5510,10520
Unique Trestle Refectory Table c.1930,6760,19060
Carved Ivory Netsuke,30370,49030
Original Social Realist Mural Study c.1960,49040,128610
Original Treasure Map Replica Framed Belle Epoque,3760,7580
Original Watercolor Mountain View Georgian Period,37380,116270
Reclaimed Church Doors Oak c.1860,1260,3120
Ornate Astrolabe Reproduction Mid-Century,2120,4780
Dorothea Lange Migrant Mother Print c.1820 Good Condition,2720,4100
Exceptional Limoges Enamel Box Collection c.1910,2530,4190
Certified Auto Racing Trophy 1960s c.1910 With Certificate,1000,1310
Late Steinway Model B Grand Piano,28060,49310
Original Dom Perignon 1996,11350,25000
Provincial Sweden Treskilling Yellow Art Nouveau Period,7440,21910
Exceptional Loetz Iridescent Art Glass Vase c.1800,3550,6380
Premier Pediment Fragment Stone c.1940,2910,6250
Select Lucie Rie Stoneware Bowl c.1910,3890,7280
Qashqai Tribal Bag With Provenance,1810,5660
Ornate Proof Silver Eagle Set,31070,42080
Silk Route Trade Map Reproduction 18th Century,4350,6560
Fine Grain Painted Blanket Chest,8070,12170
Exceptional Circus Poster Barnum Bailey c.1970,3130,4940
Continental Nurses Watch Enamel Dial c.1970 Excellent Condition,43870,120000
Exceptional Banjo Clock American Federal With Provenance,990,2270
Premier Post-Impressionist Cityscape c.1880,10390,34180
Tlingit Chilkat Blanket Post-War,4740,11260
Published China Red Revenue Stamp,14770,45540
Raku Tea Ceremony Bowl Unrestored,15640,40000
China Red Revenue Stamp Early 20th Century Estate Fresh,16200,43620
Ornate Krug Collection 1988,2580,7290
Surrealist Dreamscape c.1880,61250,150000
Dunhill Leather Briefcase 19th Century,16340,35000
Historic Indian Head Gold Eagle Estate Fresh,45280,100000
Choice Moog Minimoog Synthesizer,27270,60000
Certified Hewlett Packard HP-35 Calculator c.1930,14510,30000
Period Civil War Letters Collection Late Victorian,22210,50000
Distinguished Ship's Bell Clock Chelsea Modernist Period,2050,4680
Early Jaguar Leaper Hood Ornament,2290,5000
Civil War Officer's Sword With Provenance,1840,4610
Banjo 5-String Prewar Gibson From Private Collection,13020,21810
Miniature Hair Art Memorial Wreath,1290,4270
Choice Silver Trophy Cup Engraved Arts & Crafts Era,4170,7960
Outstanding Carved Stone Gargoyle c.1860,5020,11510
Sarouk Fereghan Rug,14000,21940
Certified Globe Celestial Miniature,7000,15000
Scarce Original Ferrari Owners Manual,1360,4700
Pristine Japanese Samurai Sword Katana,19280,27550
First Day Cover Collection Late Victorian Unrestored,18760,30630
Ornate Alfred Stieglitz Equivalent Print c.1960,11900,21280
Cold War Era Spy Camera Excellent Condition,8540,15220
Diego Maradona Signed Shirt c.1930,1740,5940
Estate Campaign Officer's Chest Arts & Crafts Era,6940,16240
Published A. Lange & Sohne Saxonia Unrestored,32590,103420
Period Bach Stradivarius Trumpet Federal Period Recently Conserved,14770,51660
Campaign Officer's Chest c.1930,10980,19410
Antique Moorcroft Pomegranate Vase Unrestored,6170,19400
Signed Aboriginal Boomerang Carved Georgian Period,15950,40000
Armillary Sphere Desktop Art Deco Period,3290,9730
Late Butter Mold Carved Eagle Museum Deaccessioned,3650,6000
Period Thorens TD-124 Turntable c.1840,14110,30000
Outstanding Hank Aaron Home Run Ball c.1970,4670,12410
Exceptional Mercury Barometer Stick Type Early 20th Century,1760,4020
Important Steuben Crystal Eagle Excellent Condition,5980,10830
Sea Chart Dutch Golden Age c.1820 As Found,1820,2620
Inuit Soapstone Carving c.1900,11170,21120
Original Native American Kachina Doll,13650,22910
Saint Louis Crystal Goblet Set With Provenance,12220,25000
Select Irish Silver Sugar Bowl Federal Period,6120,17690
Early Ortelius Theatrum Orbis Page,860,2720
Estate Falconry Hood Leather Antique Good Condition,5350,12000
Restored Whirligig Carved Sailor With Certificate,220,510
Provenance Cassandre Normandie Poster Mid-Century,5760,12000
Provincial Antique Fishing Reel Collection c.1800 Museum Deaccessioned,2060,3860
Museum Quality Rickenbacker 360 Electric Guitar Late Victorian,11810,25280
Attributed Porsche Enamel Dealer Sign,170,390
Signed Mercury Dime Full Bands Regency Period,44770,73330
Colonial Scrimshaw Whale Tooth,6620,8640
Admiralty Chart British Navy Art Deco Period,3190,5800
Scarce Hawaiian Missionaries Stamp,7240,20530
Continental Weller Sicard Vase c.1950,14250,40000
Premier Alabaster Torso Late Victorian,19380,36220
Quezal Art Glass Shade,6040,14920
Scarce Buccellati Silver Bowl c.1970,6690,13220
Celtic Harp Hand Carved,8980,17720
Attributed Alabaster Torso c.1910,22120,71160
Outstanding Shell Art Valentine Box Federal Period,180,400
Historic Falklands War Memorabilia Group,9200,20000
Estate Cigar Store Indian Figure Empire Period Good Condition,8380,18000
Pristine Pillar Clock Biedermeier c.1820 Excellent Condition,4500,8180
Exceptional Candelabrum Bronze Empire Unrestored,8860,18630
Murano Glass Chandelier 12 Arm c.1880,5310,12480
Scarce Jackie Robinson Dodgers Cap Belle Epoque,20120,45070
Dinky Toys Collection Boxed Unrestored,3150,7110
Notable Postal History Cover Collection Post-War Excellent Condition,2700,7510
Monumental Planimeter Measuring Instrument c.1800 With Provenance,2180,2920
Kafka Metamorphosis 1st Ed,13780,34230
Exceptional Decoy Shorebird Carved Art Nouveau Period,4810,14510
Exceptional Bronze Figurine,20200,56850
Superb Sega Genesis Console Boxed Belle Epoque Good Condition,6090,15000
Estate Penfolds Grange 1971 Art Deco Period Museum Deaccessioned,5460,17730
Ornate Geological Survey Map Victorian Art Deco Period With Certificate,3610,10820
Miniature Admiralty Chart British Navy Estate Fresh,4010,11420
Hermes Kelly Bag c.1940,3720,6370
Delicate Painted Fireboard Scene c.1860 Excellent Condition,2990,5990
Exhibited Pan Am Airlines Poster 1960s Empire Period,2140,6790
Aubusson Tapestry Panel,6390,15260
Webb Cameo Glass Vase Georgian Period,3780,6040
Exquisite Ceramic Raku Sculpture c.1780,25900,66980
Exhibited Japanese Ukiyo-e Woodblock Print Art Deco Period Excellent Condition,90,170
Sporting Gun Cabinet Oak,5600,12000
Pristine Chinese Chippendale Mirror Post-War,7420,14920
Remarkable Babe Ruth Signed Baseball With Certificate,17420,40220
Miniature Realist Portrait Post-War,55510,119460
Oversized Purdey Side by Side Shotgun Belle Epoque Estate Fresh,830,1290
Superb WPA Federal Art Project Poster Regency Period,2160,7100
Restored Bidjar Iron Rug Art Nouveau Period Museum Deaccessioned,11190,25590
Attributed Gilt Bronze Candelabra Pair,1530,4880
Restored McIntosh MC275 Amplifier,5800,19820
Fairy Lamp Clarke's Patent Belle Epoque,7680,20000
Exceptional Found Object Assemblage,7430,12600
Indian Head Gold Eagle c.1860 Museum Deaccessioned,42920,100000
Grand Art Deco Travel Poster Paris Art Nouveau Period,4820,12000
Rare Art Nouveau Bronze Table Lamp Arts & Crafts Era Recently Conserved,9530,14420
Pristine Auto Racing Trophy 1960s Late Victorian,1680,2780
Donegal Arts Crafts Carpet c.1900,1760,3020
Rare Bobby Orr Signed Stick Late Victorian From Private Collection,15440,28910
Premier Carousel Horse Carved Wood Estate Fresh,5900,10300
Tin Robot Battery Operated Empire Period,3740,10320
Bessarabian Floral Kilim Museum Deaccessioned,5420,14580
Authentic Derek Jeter Game Bat c.1930,13650,29110
Exceptional Surveyor's Transit Brass c.1780 Unrestored,4200,11240
Confederate States Collection,11750,35690
Cabochon Emerald Brooch Belle Epoque,33200,67300
Delicate Planimeter Measuring Instrument c.1950,3570,11140
Miniature Macintosh 128K Original Art Nouveau Period,12790,20820
Abstract Expressionist Work,18490,53990
Continental Fairy Lamp Clarke's Patent,5120,11320
Givenchy Audrey Hepburn Dress c.1860,3400,10670
Sheraton Card Table c.1970,5510,10830
Korean War Dog Tags c.1880,2040,6780
Unique Decoy Shorebird Carved,7790,18000
Jaeger-LeCoultre Reverso,29240,89990
Bouillotte Lamp Brass French,8360,12240
Premier Mercury Dime Full Bands Art Deco Period Museum Deaccessioned,60,100
Vintage Candelabrum Bronze Empire c.1780 With Provenance,8510,20000
Matched Irish Silver Sugar Bowl,5360,16450
Ornate Partner's Desk Leather Top c.1960,7500,13960
India Scinde Dawk Mid-Century Museum Deaccessioned,6310,15250
Ship Figurehead Carved,2880,3990
Meissen Porcelain Figurine c.1950,6760,13190
Colonial Continental Dollar Good Condition,18190,60010
Continental Zenith El Primero Unrestored,18940,32740
Vintage Dorothea Lange Migrant Mother Print 19th Century,2450,6210
